Dokumen,Topik 1,Topik 2,Topik 3,Topik 4,Kategori
semarang beritajatengnet jajaran direktorat reserse kriminal khusus ditreskrimsus polda jateng menangkap pria tindakan pidana perbankan pencucian uang kerugian dilaporkan senilai rp miliar potensi kerugian nasabah mencapai rp miliarhal direktur reserse kriminal khusus dirreskrimsus kombes pol dwi subagio didampingi kabid humas kombes pol iqbal alqudusy perwakilan otoritas jasa keuangan ojk dinas koperasi provinsi jateng konferensi pers kantor ditreskrimsus polda jateng banyumanik kota semarang senin tersangka berhasil ditangkap berinisial ah warga kudus pendiri koperasi simpan pinjam ksp gmg giri muria group beroperasi kabupaten kudusaksinya korban melapor sembilan orang kerugian rp m kombes iqbal alqudusylebih dirreskrimsus kombes dwi subagio modus tersangka menarik nasabah masyarakat menyimpan uangnya imingiming bunga tinggimodus operandi menghimpun dana imingiming masyarakat bunga persen pertahun normatifnya persen setahun dwiia potensi kerugian nasabah senilai rp miliar masyarakat nasabah menghimpun dana ksp tersebutdari pengembangan warga himpun dana orang ditkrimsus polda jateng kurator ojk potensi kerugian rp m tegasnyatersangka uang membeli kendaraan aset tanah membeli saham sertifikat tanah hak milik disita total nilai aset rp miliaryang penyimpanan menutupi kegiatan beli aset tanah sertifikat sekian potensi kerugian sita rp m tegasnyasaat didalami tersangka dijerat pasal undangundang no perubahan undangundang no perbankan pasal undangundang no pencegahan pemberantasan tindak pidana pencucian uangancaman hukuman minimal maksimal penjara dwisementara tersangka ah mengaku koperasinya berjalan terkena dampak pandemi covid kredit macet colabstadinya pandemi collapse ujarnyaterkait kejadian kabidhumas mengimbau masyarakat korban melapor instansi terkait kepolisian ojk dinas koperasi setempatsilahkan melapor korban tegasnyadirinya menghimbau masyarakat hatihati berinvestasi mudah tergiur imingiming bunga tinggisilahkan konsultasikan berwenang cek legalitasnya tawaran investasi menggiurkan masyarakat diimbau berhatihati akel,0.8140057623708051,0.02875271096492619,0.028998970252835893,0.12824255641143265,Kriminal
serang ketua pkb muhaimin iskandar alias cak imin percaya pede duet anies baswedan cak imin amin mendaftar pendaftaran caprescawapres oktober mendatanginsyaallah kpu tanggal oktober mohon doanya restunya cak imin berkunjung pondok pesantren nurul islam jember jawa timur kamis cawapres koalisi perubahan keputusannya berpasangan anies ditentukan singkatcak imin mengaku koalisi kunjung arah jelasalhamdulillah kabar mas anies mandek pacaran sono gagal walhasil jomblo ketemu jomblo cak imin melansir suaracom jaringan bantennewscoidsebagai informasi dpr pemerintah menyetujui menetapkan jadwal pendaftaran capres cawapres oktober kesepakatan disetujui rapat komisi ii dpr pemerintah kpu dkpp bawaslured,0.02797507034670913,0.027733946587225482,0.028303353859023134,0.9159876292070422,Politik
serang situasi politik menjelang pemilu kian menghangat pengamanan kelancaran pemilu menjaga kondisi bangsa kondusif menjelang hajat demokrasi tahunan inikapolda banten irjen pol rudy heriyanto membentuk pola sistem keamanan zonasi model pengamanan melibatkan personil korbrimob polri dalmas nusantarapolri membentuk pola sistem pengamanan kewilayahan zonasi korbrimob polri dalmas nusantara polri personel brimob power on hand kapolri personel dalmas nusantara mobilisasi jelasnyaselain dukungan operasi mantap brata polri menggelar operasi cooling systempolri menggelar operasi nusantara cooling system membangun narasi persatuan kesatuan kemajuan bangsa diatas kepentingan kelompok mengantisipasi polarisasi berita hoaks sara propaganda lainlain rudyrudy pemilu pesta demokrasi terbesar bukti kematangan demokrasi indonesia dibutuhkan dukungan komponen mensukseskan pemilihan serentak tersebutguna mengamankan pemilu polri didukung tni kementerian instansi terkait mitra kamtibmas menggelar operasi mantap brata rudydalam kegiatan rudy diiringi penguatan strategi komunikasi publik sosialisasi masyarakat harapannya sosialisasi masyarakat menjaga stabilitas kamtibmas pemilu mendatangoperasi mantap brata diiringi penguatan strategi komunikasi publik sosialisasi masyarakat masyarakat senantiasa menjaga persatuan kesatuan bangsa berparisipasi menjaga stabilitas kamtibmas pemilu katanyauntuk personel gabungan personel polri dilaksanakan oktober oktober red,0.03392991775060021,0.03408446444443827,0.03390842072773046,0.8980771970772311,Politik
jakarta ketua persatuan sepak bola indonesia pssi erick thohir menyebut fifa indonesia tuan rumah piala dunia u turnamen dijadwalkan november desember mendatangfifa resmi indonesia tuan rumah piala dunia u pasca menggelar rapat dewan jumat lalupenunjukkan angin segar sepak bola tanah air diterpa berita miring indonesia kesempatan tanggung menggelar ajang piala dunia u dilansir suaracom jaringan bantennewscoid erick thohir mengungkap faktor dianggap berperan keputusan fifa indonesia tuan rumah piala dunia u prestasi timnas indonesia kian meningkatmenurut erick faktor fifa indonesia pengganti peru host piala dunia u bangkitnya sepak bola tanah airtimnas indonesia berhasil juara sea games medali emas perdana ajang kali mendapatkannya silamsepak bola indonesia sempa digempur kejadian mengenakan peristiwa kanjuruhan batalnya perhelatan piala dunia u indonesia statusnya dicabut fifa akibat gelombang penolakan timnas israelalhamdulillah kepercayaan fifa indonesia fifa bangkit kemarin sea games bagus erick sukses selanggarakan laga fifa matchday juni erick menganggap performa apik timnas indonesia level senior dipimpin shin taeyong berpengaruh keputusan fifa indonesia tuan rumah piala dunia u menang timnas indonesia dianggap bermain solid menahan imbang palestina kalah argentinatak perihal hasil penyelenggaraan laga menghadapi tim argentina dinilai berjalan lancar hambatanpertandingan fifa match day palestina argentina isu anehaneh pria menjabat menteri bumn timnas indonesia host kualifikasi piala asia u timnas indonesia tuan rumah kualifikasi piala asia u meraih hasil sisi tim nasional indonesia dinilai erick menyelenggarakan event lancarpada gelaran acara garuda muda gagal menembus tiket putaran final piala asia u kalah laga melawan malaysia skor berani host afc u halhal pertimbangan erickred,0.036071985217945704,0.036200523326028605,0.6880022072111255,0.23972528424490036,Olahraga
serang personel propam polres serang kegiatan penegakan penertiban disiplin gaktibplin personel polsek jajaranselain memeriksa sikap tampang personel propam polres serang dipimpin kasipropam ipda p rangkuti memeriksa kebersihan markas kondisi suratsurat izin senpi kendaraanini kegiatan rutin polsek jajaran sesuai perkap no disiplin anggota polri tujuannya kedisiplinan personil bertugas memeriksa dokumen senjata api kendaraan rangkuti selasa ipda rangkuti berharap kegiatan siepropam polres serang polsek jajaran memperhatikan sikap tampang menjalankan tugasnya sesuai standar operasional prosedur sop adakedisiplinan diutamakan meningkatkan pelayanan masyarakat waspada lengah bertugas tegasnyarangkuti kegiatan dilaksanakan sesuai perintah kapolres serang akbp wiwin setiawan meningkatkan pelayanan sesuai program serang saktisesuai perintah pimpinan pemeriksaan pemberitahuan langsung pelaksanaan tugas lapangan riil sesuai aturan ditetapkan rangkutihasil kegiatan polsek kasipropam ditemukan penampilan rambut anggota rapi langsung tindakan cukur ditemukan sim habis berlakunyauntuk anggota sim nya kedaluwarsa tindak memperpanjang alhamdulillah red,0.04900510147633816,0.03772600655781158,0.0383867385413165,0.8748821534245337,Kriminal
tangerang dinas pemuda olahraga dispora kota tangerang sukses tuan rumah gelaran kejuaraan daerah kejurda open arung jeram merebutkan piala wali kota tangerang cup kategori open r putra putri sungai cisadane kota tangerang kamis perhelatan regu bersaing enam putra enam putri enam kota kabupaten klub kota tangerang kota tangerang selatan kota serang kabupaten lebak kabupaten pandeglang kabupaten tangerang klub nagapalakepala dispora kota tangerang kaonang kejurda open arung jeram salah rangkaian kemeriahan festival cisadane kota tangerang november mendatangsecara pelaksanaan alhamdulillah sukses aman pertandingan molor akibat kondisi air kondusif berjalan lancar selamat kota kabupaten berhasil juara kaonangia sistem pertandingannya kategori sprint head to head kejuaraan digelar meningkatkan kompetensi pengalaman motivasi atletatlet muda arung jeramkejurda open arung jeram kali digelar kota tangerang harapannya perlombaan arung jeram kota tangerang rutin dilaksanakan minimal setahun perlombaan arung jeram dilaksanakan olahraga sifatnya refreshing lestari membudaya kedepannya paparnyasementara rena arsita atlet arung jeram kota tangerang bangga mewakili kota tangerang pertandingan arung jeram perlombaan menargetkan emas bertanding tingkat lagihari penuh perjuangan arus sungai cisadane deras kuat kekuatan tenaga atlet dibutuhkan ketenangan pengendalian pikiran terkuras mental diawal katanyarilred,0.048042325619784554,0.040817353680302364,0.040284757347707305,0.8708555633522058,Olahraga
tangerang dinas pemuda olahraga dispora persatuan penembak indonesia perbakin kota tangerang menggelar kejuaraan menembak cipete shooting championship kejuaraan memperebutkan piala walikota tangerang juli lapangan tembak perbakin cipete kota tangerangacara dibuka langsung kepala dispora kota tangerang kaonang dihadiri langsung stake holder ketua koni kota tangerang dirman kepala logistik polres metro tangerang kota akbp bambang kasdim tangerang letkol udin rosidi perwakilaan peserta panitiaini kegiatan perdana open turnamen porprov vi banten semoga pertandingan rutin digelar menemukan bibitbibit unggul kota tangerang turnamen upaya menjadikan kota tangerang sport tourism kaonang keterangannyasementara pertandingan cipete shooting championship diikuti atlet kota tangerang kota serang jakarta tasikmalaya depok lampung tercatat peserta klub menembak usia ketua perbakin kota tangerang r slamet haryadi membacakan laporan kegiatanpertandingan indoor outdoor indoor kategorinya airpistol airrifle sasaran tembak membutuhkan jam jarak tembak meter outdoor kategori benchrest sasaran tembak jarak meter menit multirange sasaran tembak jarak meter durasi menit menarik monte jarak meter dimana peserta berhasil menembak kertas menit sasaran tipis slametslamet kejuaraan babak penyisihan keberhasilan peserta total skor menembak diraih memperebutkan piala walikota piagam penghargaan uang tunai total senilai rp jutaseperti kadispora harapannya turnamen rutin digelar minimal kali kejuaraankejuaraan melatih mengasah keterampilan memperkuat mental dasarnya pertandingan kalah menang terpenting kemauan kejuaraan sarana latihan klub cabang slamet rilred,0.06278631144663967,0.03096976283197357,0.5581052938806467,0.34813863184074,Olahraga
lebak siswa smpn cibadak kecamatan cibadak kabupaten lebak banten bernama m rifa firdaus korban pembacokan sepulang sekolah senin kanit reskrim polsek cibadak aiptu danang membenarkan kejadian pembacokan menimpa siswa smpn cibadakbenar polsek kronologis kejadiannya keluarga korban melaporkan kejadian polsek cibadak danang dihubungi senin infonya korban dibawa rumah sakit adjidarmo rangkasbitung pertolongan korban dibawa rumah sakit pertolongan ujarnyaia anggota polsek cibadak penyisiran barangkali ditemukan mencurigakankalau info dikabarin kang ucapnyasanred,0.038302268413882345,0.03268147079911887,0.035309292955684544,0.8937069678313142,Kriminal
serang calon anggota legislatif caleg resmi masuk daftar calon dct dprd banten pemilu keputusan komisi pemilihan kpu provinsi banten menggelar rapat pleno penetapan dct pemilu kantor kpu provinsi banten cipocok jaya kota serang jumat berdasarkan informasi pemilu diikuti partai total caleg dprd banten mencapai orangdari calon calon lakilaki calon perempuan calon berstatus mantan narapidana orang calon partai politikketua kpu provinsi banten muhamad ihsan tahapan pencalonan anggota dprd terbagi tahap tahap penerimaan tahap perbaikan dokumen persyaratan tahap pencermatan rancangan daftar calon dcs tahap pergantian dcs tahap pencermatan daftar calon dctpada tahap penerimaan dilaksanakan tanggal mei mei partai politik parpol mengajukan calon anggota dprd orang calon calon lakilaki orang calon persen calon perempuan orang persen ihsanlebih ihsan tahap perbaikan dilaksanakan tanggal juni juli parpol peserta pemilu mengajukan calon orang calon berkurang orang calon pengajuan awalrinciannya calon lakilaki orang persen calon perempuan persen jelasnyaselanjutnya tanggal agustus agustus kpu melaksanakan tahapan penerimaan rancangan dcs dimana parpol mengajukan calon orang berkurang orang tahap perbaikan dokumen persyaratanberkurangnya calon mundurnya calon pencalonan ucapnyaihsan hasil verifikasi administrasi dokumen persyaratan orang calon kpu menemukan orang dinyatakan memenuhi syarat ms orang dinyatakan memenuhi syarat tms orang dapil partai dinyatakan memenuhi syarat disertakan dcs terpenuhinya syarat keterwakilan perempuan daerah pemilihan tersebutoleh kpu disetujui parpol mencoret orang calon tanggal agustus kpu provinsi banten menetapkan dcs orang calon calon lakilaki orang calon persen calon perempuan orang calon persen ungkapnyamenurut ihsan tahap pergantian dcs dimana calon diganti dinyatakan tms akibat tanggapan masyarakat partai politik mengajukan pergantian calonkemudian tanggal september oktober kpu provinsi banten melaksanakan tahap pencermatan dct dimana tahap parpol kesempatan kalinya merubah susunan calon mengganti calon mencoret mengurangi calonparpol diperbolehkan menambah calon ditetapkan dcs tahap parpol mengajukan calon berkurang orang dcs ditetapkan berkurangnya calon partai politik disebabkan mengundurkan orang tenaga pppk orang ujarnyadan tanggal november kpu provinsi banten menetapkan dct anggota dprd provinsi banten pemilu dimana calon lakilaki persen calon perempuan persen tersebar daerah pemilihan memperebutkan kursi dprd provinsi banten sambungnyaadapun sebaran kursi daerah pemilihan dapil dapil banten kota serang kursi dapil banten kabupaten serang a kursi dapil banten kabupaten serang b kursi dapil banten kabupaten tangerang a kursidapil banten kabupaten serang b kursi dapil banten kabupaten tangerang c kursi dapil banten kota tangerang a kursi dapil banten kota tangerang b kursi dapil banten kota tangerang selatan kursidapil banten kabupaten lebak kursi dapil banten kabupaten pandeglang kursi dapil banten kota cilegon kursimirred,0.03421110788104338,0.03419243100209782,0.03419417437786041,0.8974022867389985,Politik
serang musprov persatuan tinju amatir indonesia pertina provinsi banten memilih ketua periode kandidat kuat pemilihan ketua pertina banten very yugangga warta ginting sekretaris ketua tim penjaringan musprov pertina bantenginting tahapan pemilihan ketua pertina banten konferensi pers tanggal april inikemudian tanggal april tim penjaringan berkas calon ketua pertina banten bakti konferensi pers terkait pendaftaran pemilihan ketua musprov pertina banten salah hotel kota serang senin tanggal april pengembalian berkas calon mendaftar tanggal april verifikasi pengumuman hasil memenuhi syarat calon ketua pertina banten tanggal aprilpersyaratan dipenuhi calon ketua pertina banten meliputi warga negara indonesia berdomisili banten sehat jasmani rohani melaksanakan tugasnya bakti bilamana terpilih didukung minimal pengkab pengkot bantenada pengurus pertina suara pengurus pertina provinsi banten pengurus pusat enam pengurus cabang banten calon ketua berkenan visi misinya melaksanakan musprov nantipada musprov berharap memilih ketua pertina banten terbaik memajukan tinju amatir provinsi banten ujarnyadhered,0.03894209778850212,0.03569959794328259,0.03580516269310882,0.8895531415751066,Olahraga
